product_id,product_name,category,subcategory,color,material,fit,list_price,cost_price,launch_date,image_file
P023,네이비 와이드 울 후드,top,후드,navy,울,와이드,53000,27600,2025-05-09,images/P023.png
P024,브라운 와이드 폴리 니트,top,니트,brown,폴리,와이드,55000,28700,2025-09-25,images/P024.png
P025,브라운 오버핏 니트 셔츠,top,셔츠,brown,니트,오버핏,54000,26600,2025-06-05,images/P025.png
P026,그린 크롭 니트 셔츠,top,셔츠,green,니트,크롭,48000,24200,2025-07-08,images/P026.png
P027,화이트 레귤러핏 린넨 셔츠,top,셔츠,white,린넨,레귤러핏,63000,32100,2025-12-15,images/P027.png
P028,블랙 크롭 린넨 티셔츠,top,티셔츠,black,린넨,크롭,39000,14900,2025-09-14,images/P028.png
P029,블랙 슬림핏 데님 티셔츠,top,티셔츠,black,데님,슬림핏,39000,20200,2025-07-30,images/P029.png
P030,화이트 와이드 폴리 셔츠,top,셔츠,white,폴리,와이드,62000,23900,2025-09-02,images/P030.png
P031,블랙 크롭 데님 티셔츠,top,티셔츠,black,데님,크롭,60000,26400,2025-05-24,images/P031.png
P032,브라운 와이드 코튼 티셔츠,top,티셔츠,brown,코튼,와이드,45000,20600,2025-08-05,images/P032.png
P033,화이트 오버핏 코튼 니트,top,니트,white,코튼,오버핏,65000,26100,2025-10-18,images/P033.png
P034,화이트 크롭 데님 니트,top,니트,white,데님,크롭,57000,21000,2025-08-31,images/P034.png
P035,네이비 와이드 코튼 후드,top,후드,navy,코튼,와이드,49000,19400,2025-10-23,images/P035.png
P036,브라운 와이드 폴리 니트,top,니트,brown,폴리,와이드,65000,34400,2025-12-22,images/P036.png
P037,핑크 오버핏 코튼 티셔츠,top,티셔츠,pink,코튼,오버핏,49000,18800,2025-12-20,images/P037.png
P038,그린 레귤러핏 린넨 셔츠,top,셔츠,green,린넨,레귤러핏,38000,18500,2025-08-23,images/P038.png
P039,화이트 레귤러핏 폴리 티셔츠,top,티셔츠,white,폴리,레귤러핏,45000,20300,2025-12-22,images/P039.png
P040,베이지 슬림핏 데님 셔츠,top,셔츠,beige,데님,슬림핏,44000,23300,2025-07-02,images/P040.png
P041,베이지 와이드 데님 슬랙스,bottom,슬랙스,beige,데님,와이드,74000,35500,2025-10-13,images/P041.png
P042,그린 슬림핏 데님 슬랙스,bottom,슬랙스,green,데님,슬림핏,85000,35500,2025-07-11,images/P042.png
P043,그레이 오버핏 니트 데님,bottom,데님,gray,니트,오버핏,91000,46400,2025-10-09,images/P043.png
P044,화이트 슬림핏 니트 데님,bottom,데님,white,니트,슬림핏,85000,45100,2025-07-27,images/P044.png
P045,브라운 크롭 코튼 스커트,bottom,스커트,brown,코튼,크롭,64000,29800,2025-05-24,images/P045.png
P046,그레이 오버핏 린넨 데님,bottom,데님,gray,린넨,오버핏,59000,27300,2025-08-14,images/P046.png
P047,브라운 오버핏 데님 슬랙스,bottom,슬랙스,brown,데님,오버핏,58000,30100,2025-10-24,images/P047.png
P048,네이비 크롭 니트 팬츠,bottom,팬츠,navy,니트,크롭,92000,33700,2025-12-13,images/P048.png
P049,네이비 오버핏 폴리 팬츠,bottom,팬츠,navy,폴리,오버핏,78000,32000,2025-05-24,images/P049.png
P050,그린 와이드 린넨 슬랙스,bottom,슬랙스,green,린넨,와이드,84000,36700,2025-12-19,images/P050.png
P051,베이지 오버핏 폴리 스커트,bottom,스커트,beige,폴리,오버핏,78000,38900,2025-06-04,images/P051.png
P052,베이지 레귤러핏 린넨 팬츠,bottom,팬츠,beige,린넨,레귤러핏,74000,29800,2025-09-03,images/P052.png
P053,네이비 슬림핏 데님 슬랙스,bottom,슬랙스,navy,데님,슬림핏,100000,42000,2025-10-17,images/P053.png
P054,네이비 오버핏 데님 스커트,bottom,스커트,navy,데님,오버핏,50000,27000,2025-05-16,images/P054.png
P055,핑크 크롭 데님 데님,bottom,데님,pink,데님,크롭,88000,31400,2025-08-12,images/P055.png
P056,그린 레귤러핏 린넨 스커트,bottom,스커트,green,린넨,레귤러핏,61000,29200,2025-06-22,images/P056.png
P057,그린 와이드 니트 스커트,bottom,스커트,green,니트,와이드,92000,44000,2025-09-27,images/P057.png
P058,핑크 슬림핏 코튼 슬랙스,bottom,슬랙스,pink,코튼,슬림핏,99000,39600,2025-12-09,images/P058.png
P059,블랙 슬림핏 린넨 스커트,bottom,스커트,black,린넨,슬림핏,95000,33600,2025-12-28,images/P059.png
P060,화이트 슬림핏 데님 스커트,bottom,스커트,white,데님,슬림핏,82000,34700,2025-07-29,images/P060.png
P061,그린 슬림핏 데님 점프수트,dress,점프수트,green,데님,슬림핏,115000,58500,2025-10-28,images/P061.png
P062,네이비 와이드 린넨 원피스,dress,원피스,navy,린넨,와이드,86000,46000,2025-07-20,images/P062.png
P063,네이비 오버핏 울 점프수트,dress,점프수트,navy,울,오버핏,124000,44600,2025-08-08,images/P063.png
P064,브라운 오버핏 린넨 원피스,dress,원피스,brown,린넨,오버핏,127000,66300,2025-09-27,images/P064.png
P065,베이지 오버핏 데님 원피스,dress,원피스,beige,데님,오버핏,119000,45500,2025-12-24,images/P065.png
P066,베이지 레귤러핏 코튼 원피스,dress,원피스,beige,코튼,레귤러핏,110000,40500,2025-08-19,images/P066.png
P067,브라운 오버핏 폴리 점프수트,dress,점프수트,brown,폴리,오버핏,110000,46600,2025-06-22,images/P067.png
P068,네이비 와이드 니트 원피스,dress,원피스,navy,니트,와이드,117000,52800,2025-06-04,images/P068.png
P069,네이비 슬림핏 폴리 점프수트,dress,점프수트,navy,폴리,슬림핏,122000,58400,2025-10-30,images/P069.png
P070,베이지 와이드 데님 점프수트,dress,점프수트,beige,데님,와이드,114000,43600,2025-07-29,images/P070.png
P071,브라운 슬림핏 폴리 원피스,dress,원피스,brown,폴리,슬림핏,133000,56600,2025-11-07,images/P071.png
P072,화이트 슬림핏 데님 점프수트,dress,점프수트,white,데님,슬림핏,95000,41900,2025-07-25,images/P072.png
P073,블랙 슬림핏 코튼 크로스백,bag,크로스백,black,코튼,슬림핏,75000,31000,2025-07-03,images/P073.png
P074,그레이 와이드 울 크로스백,bag,크로스백,gray,울,와이드,107000,44900,2025-11-12,images/P074.png
P075,블랙 슬림핏 코튼 토트백,bag,토트백,black,코튼,슬림핏,81000,36600,2025-05-17,images/P075.png
P076,그레이 와이드 니트 토트백,bag,토트백,gray,니트,와이드,101000,46400,2025-05-17,images/P076.png
P077,화이트 와이드 폴리 크로스백,bag,크로스백,white,폴리,와이드,69000,35900,2025-07-19,images/P077.png
P078,그린 슬림핏 폴리 크로스백,bag,크로스백,green,폴리,슬림핏,108000,49300,2025-07-22,images/P078.png
P079,그레이 크롭 데님 토트백,bag,토트백,gray,데님,크롭,115000,62300,2025-11-25,images/P079.png
P080,화이트 와이드 니트 크로스백,bag,크로스백,white,니트,와이드,109000,55600,2025-12-11,images/P080.png
